Carrier_Density_(cm-3)	Lifetime_(s)
6.006428000000000000e+10	2.594405999999999839e-06
5.455463000000000000e+10	2.496447000000000173e-06
4.940925000000000000e+10	2.340322999999999853e-06
4.474481000000000000e+10	2.192530999999999981e-06
4.042707000000000000e+10	2.065745999999999974e-06
3.650212000000000000e+10	1.978022999999999950e-06
3.288120000000000000e+10	1.812861000000000023e-06
2.953798000000000000e+10	1.706168000000000035e-06
2.650915000000000000e+10	1.569764000000000053e-06
2.374221000000000000e+10	1.480379000000000103e-06
2.122355000000000000e+10	1.358303000000000063e-06
1.891137000000000000e+10	1.269477999999999901e-06
1.683487000000000000e+10	1.206741000000000099e-06
1.495439000000000000e+10	1.101668999999999963e-06
1.325630000000000000e+10	1.016560000000000098e-06
1.172202000000000000e+10	9.142356999999999787e-07
1.034209000000000000e+10	8.771418999999999883e-07
9.114302000000000000e+09	7.851449999999999807e-07
8.014278000000000000e+09	7.276446999999999723e-07
7.022853000000000000e+09	6.624419999999999969e-07
6.140721000000000000e+09	6.128947000000000334e-07
5.358594000000000000e+09	5.427268000000000288e-07
4.660749000000000000e+09	5.157606999999999525e-07
4.040489000000000000e+09	4.495458000000000099e-07
3.499621000000000000e+09	4.029669999999999846e-07
3.023670000000000000e+09	3.805811999999999960e-07
2.604548000000000000e+09	3.457749999999999844e-07
2.238970000000000000e+09	2.953453999999999971e-07
1.919834000000000000e+09	2.714887000000000003e-07
1.644109000000000000e+09	2.468940000000000137e-07
1.404159000000000000e+09	2.180087999999999927e-07
1.197197000000000000e+09	1.894447000000000102e-07
1.017545000000000000e+09	1.847696000000000110e-07
8.623129000000000000e+08	1.586798999999999967e-07
7.297109000000000000e+08	1.333874999999999892e-07
6.168294000000000000e+08	1.234224999999999923e-07
5.193744000000000000e+08	1.223220999999999939e-07
4.369460000000000000e+08	1.111628000000000033e-07
3.669380000000000000e+08	9.165661999999999611e-08
3.072556000000000000e+08	7.792926999999999594e-08
2.571397000000000000e+08	6.750211000000000648e-08
2.148677000000000000e+08	6.733564000000000592e-08
1.791206000000000000e+08	5.766720999999999695e-08
1.493351000000000000e+08	5.214932000000000206e-08
1.242807000000000000e+08	3.954893999999999971e-08
1.032838000000000000e+08	3.653203999999999868e-08
8.596086000000000000e+07	3.264486999999999710e-08
7.144490000000000000e+07	3.545894999999999737e-08
5.931993000000000000e+07	3.093024999999999997e-08
4.925575000000000000e+07	3.496705000000000076e-08
4.085068000000000000e+07	2.827033000000000033e-08
3.391938000000000000e+07	2.234854999999999930e-08
2.817235000000000000e+07	1.718890000000000048e-08
2.339760000000000000e+07	1.417086000000000001e-08
1.945442000000000000e+07	1.483232999999999938e-08
1.619249000000000000e+07	1.403156999999999976e-08
1.348488000000000000e+07	9.740834999999999688e-09
1.125861000000000000e+07	6.671873000000000169e-09
9.408437500000000000e+06	6.622223999999999941e-09
7.870577500000000000e+06	5.635982000000000029e-09
6.594853500000000000e+06	6.099267999999999953e-09
5.532304500000000000e+06	5.762762000000000288e-09
4.654782000000000000e+06	4.974332999999999846e-09
3.926284000000000000e+06	4.425167000000000214e-09
3.316775000000000000e+06	6.485588999999999823e-09
2.809937500000000000e+06	3.210853000000000058e-09
2.386506500000000000e+06	4.002346000000000315e-09
2.033353500000000000e+06	2.230753000000000103e-09
1.738222000000000000e+06	9.444370000000000547e-09
1.490197500000000000e+06	2.268536000000000075e-09
1.280545000000000000e+06	9.446971999999999501e-09
1.104096000000000000e+06	2.744550999999999904e-09
8.293705000000000000e+05	2.951046000000000027e-09
7.209355000000000000e+05	1.970235999999999978e-09
6.295900000000000000e+05	1.260992999999999928e-09
5.513250000000000000e+05	3.733371000000000218e-09
4.842965000000000000e+05	2.197142999999999844e-09
4.261200000000000000e+05	1.741613999999999979e-09
2.964745000000000000e+05	1.121684000000000073e-08
1.266815000000000000e+05	3.285693000000000185e-09
